Title,Year,Username,UserID,Date,Start,Finish,Paused,Duration,Percent,Platform,Player,Type,Transcode,RatingKey
Won’t Get Fooled Again - The Who,1971,Rauno T,8898770,10/05/2024,13:56,13:56,0 mins,1 min,7,tvOS,Apple TV,track,direct play,117214
ordinary things - Ariana Grande feat. Nonna,2024,Rauno T,8898770,10/05/2024,13:52,13:55,0 mins,3 mins,100,tvOS,Apple TV,track,direct play,133615
imperfect for you - Ariana Grande,2024,Rauno T,8898770,10/05/2024,13:49,13:52,0 mins,3 mins,100,tvOS,Apple TV,track,direct play,133614
we can’t be friends (wait for your love) - Ariana Grande,2024,Rauno T,8898770,10/05/2024,13:45,13:49,0 mins,4 mins,100,tvOS,Apple TV,track,direct play,133612
the boy is mine - Ariana Grande,2024,Rauno T,8898770,10/05/2024,13:42,13:45,0 mins,3 mins,100,tvOS,Apple TV,track,direct play,133610
true story - Ariana Grande,2024,Rauno T,8898770,10/05/2024,13:40,13:42,0 mins,3 mins,100,tvOS,Apple TV,track,direct play,133609
The Office - Frame Toby,2008,Rauno T,8898770,10/05/2024,13:07,13:36,2 mins,27 mins,100,tvOS,Apple TV,episode,direct play,75592
The Office - Business Trip,2008,Rauno T,8898770,10/05/2024,08:40,09:00,0 mins,21 mins,100,tvOS,Apple TV,episode,direct play,75591
Westworld - The Riddle of the Sphinx,2018,dlee247,63169931,10/04/2024,19:25,23:54,0 mins,1 hr 9 mins,100,Android,Plex for Android (TV),episode,transcode,2141
It's What's Inside,2024,kregorkruusvald,168005844,10/04/2024,20:05,21:53,2 mins,1 hr 41 mins,100,Android,Smart TV Pro,movie,direct play,141653
It Ends with Us,2024,Kristina K,16439482,10/04/2024,20:12,22:38,18 mins,2 hrs 8 mins,100,tvOS,Apple TV,movie,transcode,141544
Westworld - Virtù e Fortuna,2018,dlee247,63169931,10/04/2024,18:24,19:25,4 mins,57 mins,100,Android,Plex for Android (TV),episode,transcode,2140
Oasis Knebworth 1996,2021,Rauno T,8898770,10/04/2024,18:20,19:08,3 mins,45 mins,100,tvOS,Apple TV,movie,direct play,141087
Westworld - Reunion,2018,dlee247,63169931,10/04/2024,00:47,18:23,6 secs,28 mins,100,Android,Plex for Android (TV),episode,transcode,2139
The Lord of the Rings: The Rings of Power - Shadow and Flame,2024,kregorkruusvald,168005844,10/04/2024,18:00,19:09,0 mins,1 hr 9 mins,100,Android,Smart TV Pro,episode,direct play,141633
The Lord of the Rings: The Rings of Power - Doomed to Die,2024,kregorkruusvald,168005844,10/04/2024,16:01,17:10,0 mins,1 hr 9 mins,100,Android,Smart TV Pro,episode,direct play,141565
Westworld - Journey Into Night,2018,dlee247,63169931,10/04/2024,00:31,00:47,0 mins,16 mins,100,Android,Plex for Android (TV),episode,transcode,2138
Westworld - The Bicameral Mind,2016,dlee247,63169931,10/04/2024,22:19,00:31,1 sec,1 hr 3 mins,100,Android,Plex for Android (TV),episode,transcode,38686
Westworld - The Well-Tempered Clavier,2016,dlee247,63169931,10/02/2024,21:30,22:19,0 mins,49 mins,100,Android,Plex for Android (TV),episode,transcode,38685
It Ends with Us,2024,williamsarevet,314398203,10/02/2024,21:16,21:19,0 mins,3 mins,0,webOS,LG 55SK7900PLA,movie,direct play,141544
Westworld - Trace Decay,2016,dlee247,63169931,10/02/2024,20:36,21:30,0 mins,54 mins,100,Android,Plex for Android (TV),episode,transcode,38684
Masterminds,2015,williamsarevet,314398203,10/02/2024,21:37,21:16,8 mins,1 hr 38 mins,100,webOS,LG 55SK7900PLA,movie,direct play,141598
Westworld - Trompe L'Oeil,2016,dlee247,63169931,10/02/2024,19:39,20:35,0 mins,57 mins,100,Android,Plex for Android (TV),episode,transcode,38683
Westworld - The Adversary,2016,dlee247,63169931,10/02/2024,18:25,19:39,0 mins,55 mins,100,Android,Plex for Android (TV),episode,transcode,38682
Beetlejuice,1988,kregorkruusvald,168005844,10/02/2024,16:09,17:40,0 mins,1 hr 32 mins,100,Android,Smart TV Pro,movie,transcode,141415
The Secret Lives of Mormon Wives - The Book of Broken Vows,2024,Kristina K,16439482,10/02/2024,11:46,12:46,13 mins,47 mins,100,tvOS,Apple TV,episode,copy,141426
Westworld - The Adversary,2016,dlee247,63169931,10/02/2024,00:00,00:55,1 sec,55 mins,100,Android,Plex for Android (TV),episode,transcode,38682
Westworld - Contrapasso,2016,dlee247,63169931,10/01/2024,23:04,00:00,0 mins,55 mins,100,Android,Plex for Android (TV),episode,transcode,38681
Westworld - Dissonance Theory,2016,dlee247,63169931,10/01/2024,22:08,23:04,0 mins,56 mins,100,Android,Plex for Android (TV),episode,transcode,38680
The Secret Lives of Mormon Wives - The Book of Truth,2024,Kristina K,16439482,10/01/2024,21:30,22:15,0 mins,45 mins,100,tvOS,Apple TV,episode,copy,141425
The Secret Lives of Mormon Wives - The Book of Saints & Sinners,2024,Kristina K,16439482,10/01/2024,18:05,21:30,1 min,39 mins,100,tvOS,Apple TV,episode,copy,141424
90 Day Fiancé: Before the 90 Days - Brave New World,2024,Rauno T,8898770,10/01/2024,19:34,20:56,29 mins,1 hr 22 mins,100,tvOS,Apple TV,episode,direct play,141582
Deadpool & Wolverine,2024,dlee247,63169931,10/01/2024,20:18,22:07,5 secs,1 hr 49 mins,100,Android,Plex for Android (TV),movie,direct play,141584
Deadpool & Wolverine,2024,williamsarevet,314398203,10/01/2024,20:58,18:00,15 mins,2 hrs 3 mins,100,webOS,LG 55SK7900PLA,movie,direct play,141584
Westworld - The Stray,2016,dlee247,63169931,09/30/2024,20:45,21:41,0 mins,56 mins,100,Android,Plex for Android (TV),episode,transcode,38679
Westworld - Chestnut,2016,dlee247,63169931,09/30/2024,21:23,20:45,7 secs,57 mins,100,Android,Plex for Android (TV),episode,transcode,38678
Monster - Hang Men,2024,Rauno T,8898770,09/30/2024,18:40,19:34,3 mins,51 mins,100,tvOS,Apple TV,episode,direct play,141560
Westworld - The Original,2016,dlee247,63169931,09/29/2024,20:15,21:23,6 secs,1 hr 5 mins,100,Android,Plex for Android (TV),episode,transcode,38677
It Ends with Us,2024,williamsarevet,314398203,09/29/2024,20:19,22:45,15 mins,2 hrs 11 mins,100,webOS,LG 55SK7900PLA,movie,direct play,141544
Twin Peaks - Slaves and Masters,1991,dlee247,63169931,09/29/2024,19:57,20:01,1 sec,3 mins,10,tvOS,Apple TV,episode,direct play,141103
Monster - Seismic Shifts,2024,Rauno T,8898770,09/29/2024,19:56,20:47,3 mins,48 mins,100,tvOS,Apple TV,episode,direct play,141559
Monster - Showtime,2024,Rauno T,8898770,09/29/2024,18:46,19:56,20 mins,50 mins,100,tvOS,Apple TV,episode,direct play,141558
The Notebook,2004,kregorkruusvald,168005844,09/29/2024,18:43,20:38,0 mins,1 hr 55 mins,100,Android,Smart TV Pro,movie,direct play,41540
Grey's Anatomy - If Walls Could Talk,2024,Kristina K,16439482,09/29/2024,17:22,18:05,0 mins,43 mins,100,tvOS,Apple TV,episode,copy,141569
Monster - Don't Dream It's Over,2024,Rauno T,8898770,09/29/2024,13:59,15:12,11 mins,1 hr 2 mins,100,tvOS,Apple TV,episode,direct play,141557
